"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Saber Su Nombre",56,"Con sus artimañas me está seduciendo","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",57,"Ella tiro la red y yo solo cai","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",58,"Dime tu nombre y tu numero de telefono","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",59,"Dime dónde vives y tu casa, baby, let me know","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",60,"Que me contarán aunque tú no me des a mí el codigo","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",61,"Si pruebas de este dulce vas a quedarte","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",62,"Yo soy tu rifle y tú la bala que dio en mi corazón","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",63,"Para que me mates con ese cuerpo tan solido","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",64,"En la guerra y en el amor, mami, todo es valido","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",65,"Si pruebas de este dulce vas a quedarte","Post-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",66,"(¡Te lo dijo yo!) Ahora me toca a mí darte un duro apreton","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",67,"(¡Chica vamonos!) Para que bailes conmigo este guayacon","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",68,"(¡Dale rapido!) Que el tiempo que se va no vueleve, no que no","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",69,"(¡Tú dices que no!) Pero tu cara dice lo contrario","Pre-Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",70,"Sola en un esquina ella lo está moviendo","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",71,"Rompiendo esas caderas ella me atrajo a mí","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",72,"Yo hago lo que sea por saber su nombre","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",73,"Una chica como de esas no se deja ir","Coro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",74,"You know!","Outro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",75,"Daddy!","Outro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",76,"Brand new, mami","Outro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",77,"Pa' que lo bailes con suavena","Outro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",78,"Pa' to'a las morenas","Outro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",79,"Who's this?","Outro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",80,"Da-ddy- Yan-Kee!","Outro","Daddy Yankee"
"Daddy Yankee","Saber Su Nombre",81,"Cartel, coming soon","Outro","Daddy Yankee"
