"artist","track_title","line","lyric","element","element_artist"
"Daddy Yankee","Lo Que Pasó, Pasó",51,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",52,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",53,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",54,"Lo que pasó, pasó, entre tú y yo","Coro 1","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",55,"Ah, ah, dale mambo","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",56,"Ah, dale mambo","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",57,"Luny Tunes","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",58,"Son cosas que pasan en el barrio fino","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",59,"Daddy!","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",60,"Eliel!","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",61,"Sigui-Da-Da— (Woh-oh)","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",62,"Sigui-Da-Da—","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",63,"Daddy Yankee, yo","Outro","Daddy Yankee"
"Daddy Yankee","Lo Que Pasó, Pasó",64,"Come on! (Woh-oh)","Outro","Daddy Yankee"
